,DraftYr,Rk,Tm,Player,College,Yrs,G,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%
1809,2021,1,DET,Cade Cunningham,Oklahoma State,1,44,1400,692,241,227,0.394,0.327,0.856
1810,2021,2,HOU,Jalen Green,,1,43,1307,627,134,100,0.387,0.311,0.818
1811,2021,3,CLE,Evan Mobley,USC,1,50,1703,743,403,128,0.503,0.265,0.672
1812,2021,4,TOR,Scottie Barnes,Florida State,1,49,1736,706,365,164,0.47,0.313,0.733
1813,2021,5,ORL,Jalen Suggs,Gonzaga,1,39,1100,492,146,170,0.367,0.228,0.776
1814,2021,6,OKC,Josh Giddey,,1,53,1664,659,412,339,0.418,0.267,0.705
1815,2021,7,GSW,Jonathan Kuminga,,1,47,680,374,132,33,0.511,0.322,0.655
1816,2021,8,ORL,Franz Wagner,Michigan,1,60,1918,935,275,178,0.466,0.362,0.854
1817,2021,9,SAC,Davion Mitchell,Baylor,1,53,1376,551,125,183,0.406,0.326,0.558
1818,2021,10,NOP,Ziaire Williams,Stanford,1,40,861,291,71,35,0.441,0.284,0.76
1819,2021,11,CHA,James Bouknight,UConn,1,28,296,140,48,23,0.353,0.347,0.871
1820,2021,12,SAS,Joshua Primo,Alabama,1,30,476,147,52,42,0.369,0.32,0.76
1821,2021,13,IND,Chris Duarte,Oregon,1,50,1433,671,205,110,0.435,0.364,0.792
1822,2021,14,GSW,Moses Moody,Arkansas,1,34,322,109,46,11,0.376,0.306,0.824
1823,2021,15,WAS,Corey Kispert,Gonzaga,1,53,1051,360,135,50,0.43,0.322,0.884
1824,2021,16,OKC,Alperen Şengün,,1,50,937,437,240,125,0.481,0.277,0.698
1825,2021,17,MEM,Trey Murphy III,Virginia,1,41,519,160,88,20,0.338,0.336,0.857
1826,2021,18,OKC,Tre Mann,Florida,1,45,898,390,100,45,0.383,0.365,0.75
1827,2021,19,NYK,Kai Jones,Texas,1,17,48,16,8,4,0.636,0.5,0.25
1828,2021,20,ATL,Jalen Johnson,Duke,1,14,64,25,16,1,0.45,0.375,0.667
1829,2021,21,NYK,Keon Johnson,Tennessee,1,15,135,53,21,13,0.333,0.273,0.762
1830,2021,22,LAL,Isaiah Jackson,Kentucky,1,20,193,115,55,7,0.542,0.429,0.667
1831,2021,23,HOU,Usman Garuba,,1,15,105,19,34,8,0.333,0.154,0.5
1832,2021,24,HOU,Josh Christopher,Arizona State,1,50,827,370,107,87,0.452,0.322,0.773
1833,2021,25,LAC,Quentin Grimes,Houston,1,39,696,253,77,38,0.421,0.398,0.647
1834,2021,26,DEN,Bones Hyland,VCU,1,46,829,403,126,93,0.369,0.346,0.881
1835,2021,27,BRK,Cam Thomas,LSU,1,48,939,470,125,62,0.445,0.273,0.808
1836,2021,28,PHI,Jaden Springer,Tennessee,1,2,6,2,2,0,1,,
1837,2021,29,PHO,Day'Ron Sharpe,UNC,1,30,373,182,152,15,0.571,0.25,0.568
1838,2021,30,UTA,Santi Aldama,Loyola (MD),1,27,277,90,64,14,0.381,0.103,0.6
1839,2021,31,MIL,Isaiah Todd,,1,10,41,16,10,3,0.294,0.364,0.333
1840,2021,32,NYK,Jeremiah Robinson-Earl,Villanova,1,44,1014,314,254,44,0.401,0.333,0.714
1841,2021,33,ORL,Jason Preston,Ohio University,,,,,,,,,
1842,2021,34,OKC,Rokas Jokubaitis,,,,,,,,,,
1843,2021,35,NOP,Herbert Jones,Alabama,1,56,1677,536,218,118,0.499,0.358,0.855
1844,2021,36,OKC,Miles McBride,West Virginia,1,21,151,38,16,23,0.259,0.161,0.75
1845,2021,37,DET,JT Thor,Auburn,1,19,171,49,27,13,0.405,0.292,0.667
1846,2021,38,CHI,Ayo Dosunmu,Illinois,1,54,1398,440,151,166,0.523,0.407,0.677
1847,2021,39,SAC,Neemias Queta,Utah State University,1,10,56,21,19,4,0.391,,0.6
1848,2021,40,NOP,Jared Butler,Baylor,1,28,213,96,23,34,0.409,0.362,0.583
1849,2021,41,SAS,Joe Wieskamp,Iowa,1,15,92,37,8,5,0.464,0.421,0.429
1850,2021,42,DET,Isaiah Livers,Michigan,1,1,5,0,0,0,0,0,
1851,2021,43,NOP,Greg Brown III,Texas,1,28,220,93,56,7,0.432,0.19,0.633
1852,2021,44,BRK,Kessler Edwards,Pepperdine,1,28,690,180,119,18,0.394,0.33,0.8
1853,2021,45,BOS,Juhann Begarin,,,,,,,,,,
1854,2021,46,TOR,Dalano Banton,Nebraska,1,47,555,170,104,75,0.413,0.256,0.618
1855,2021,47,TOR,David Johnson,Louisville,1,2,2,0,0,0,0,0,
1856,2021,48,ATL,Sharife Cooper,Auburn,1,11,35,7,5,5,0.214,0.167,
1857,2021,49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,
1858,2021,50,PHI,Filip Petrušev,Gonzaga,,,,,,,,,
1859,2021,51,MEM,Brandon Boston Jr.,Kentucky,1,41,621,274,94,36,0.371,0.298,0.847
1860,2021,52,DET,Luka Garza,Iowa,1,29,340,151,87,16,0.444,0.341,0.643
1861,2021,53,PHI,Charles Bassey,Western Kentucky,1,23,168,69,62,7,0.638,0,0.75
1862,2021,54,IND,Sandro Mamukelashvili,Seton Hall,1,34,315,102,60,16,0.459,0.385,0.75
1863,2021,55,OKC,Aaron Wiggins,Maryland,1,34,762,243,115,38,0.464,0.307,0.706
1864,2021,56,CHA,Scottie Lewis,Florida,1,2,7,1,0,1,,,0.5
